LookupId,Name,Type,InstitutionId,State
13f78645-7c79-4708-99a7-37fadebc3d15,2019/2020,ACADEMIC YEAR,,0
0da7a70f-d01c-4a00-b307-609120a63145,2020/2021,ACADEMIC YEAR,,0
02e17282-2f13-4e5c-8803-9e0a16d98873,Semester 1,SEMESTER,,0
7b6c5950-50ea-46fa-ad96-94e5f4e4e742,Semester 2,SEMESTER,,0
b16cf661-2ddc-42cf-8db4-c450324b29d8,Regular,ENROLLMENT OPTION,,0
704ebc49-589f-46a6-9ad7-8aad362b5968,Topup,ENROLLMENT OPTION,,0
d292e9e4-7d56-4857-9091-21e8cc7bf3a8,100,LEVEL,,0
2dc37fe3-29ad-4b9e-a23c-f8fd698882ff,200,LEVEL,,0
724d157d-1aa0-4f30-850d-53d9897f6d09,CORE,SPECIALIZATION,,0
9e4acaa3-bfb7-4744-b0f7-0fea454a6ebb,ELECTIVE,SPECIALIZATION,,0
0f53c7a5-f17b-48b2-b708-af530310e6f3,300,LEVEL,,0
2b0fbe1a-d394-4574-b18b-c46ca3736dd2,400,LEVEL,,0
0400d2af-b726-47c9-af5f-cf8f95f6567e,MAJOR,SPECIALIZATION,,0
c1294832-4f03-4f4d-bafa-03eac0ea1b52,2018/2019,ACADEMIC YEAR,,0
673213ca-58c8-49dd-b77e-232863307249,2017/2018,ACADEMIC YEAR,,0
fbf97e8b-c734-48c7-827d-6e94c18ded22,2016/2017,ACADEMIC YEAR,,0
b4097848-4031-4fdd-82f2-95c70b86ee10,UNDERGRADUATE,GRADE TYPE,,0
741dd8ba-41e3-4d88-adbf-f5af0c1d6d0a,POSTGRADUATE,GRADE TYPE,,0
c5f763d4-87e7-4a3c-bad7-3a3976142399,DIPLOMA,GRADE TYPE,,0
1b948c20-4366-4b85-9839-94cd52e264a3,REGISTRATION,CONTROL TYPE,,0
b12ef151-341f-4e53-9341-07ced8799ebb,COURSE MOUNTING,CONTROL TYPE,,0
9740edab-99e7-4de5-8dd6-e171a3684ffd,RESULTS UPLOAD,CONTROL TYPE,,0
