MountedCourseId,EnrollmentOption,Level,Semester,AcademicYear,ProgramId,AssignedBy,Date,CourseName,CourseCode,AssignedTo,Specialization,Category,Scoring,Credit,State,Deleted
4c8ccba2-27ab-417c-a214-335b28e082d6,REGULAR,200,SEMESTER 2,2018/2019,107,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,SOFTWARE ENGINEERING,COMP 208,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
0ddcca05-6880-4e1b-8edc-9e2ce226245a,REGULAR,200,SEMESTER 2,2018/2019,107,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,PROGRAMMING WITH VISUAL BASIC.NET,COMP 206,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
6609b978-12ad-43c5-9f55-cb8e4a782af5,REGULAR,200,SEMESTER 2,2018/2019,107,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,NUMERICAL ANALYSIS AND COMPUTATION I,MATH 214,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
8e451521-2ab5-4820-8c26-08b22d68e76d,REGULAR,200,SEMESTER 2,2018/2019,107,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,ADVANCED DATABASE SYSTEM,COMP 204,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
88b3e0a8-1475-480e-bc8a-0f31d6c0fbb8,REGULAR,200,SEMESTER 2,2018/2019,107,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,COMPUTER ORGANIZATION AND ARCHITECTURE,COMP 202,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
68bf1db1-a173-404e-b7a3-1390e621ada4,REGULAR,200,SEMESTER 2,2018/2019,107,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,"SCIENCE, TECHNOLOGY , SOCIETY",UENR 202,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
f07b8de1-7d94-4057-8818-06164d949cad,REGULAR,200,SEMESTER 2,2018/2019,107,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,FRENCH FOR GENERAL COMMUNICATION II,UENR 204,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
20839454-5178-4f1a-ad08-6a652c66f5c4,REGULAR,200,SEMESTER 2,2018/2019,81,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,FRENCH FOR GENERAL COMMUNICATION II,UENR 204,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
3341c96d-d8a8-46c3-b5bb-8cbda07d9d2b,REGULAR,200,SEMESTER 2,2018/2019,81,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,"SCIENCE, TECHNOLOGY , SOCIETY",UENR 202,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
169b01dd-60ac-4607-8837-c8a387a37f4f,REGULAR,200,SEMESTER 2,2018/2019,81,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,SIGNALS AND SYSTEMS,ELNG 222,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
324ea9c9-2fbf-4d0d-b59e-47007b7dcde8,REGULAR,200,SEMESTER 2,2018/2019,81,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,DIFFERENTIAL EQUATIONS AND APPLICATIONS,MATH 204,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
9f3b4603-3a73-4747-84c9-eebb3d3eb2b8,REGULAR,200,SEMESTER 2,2018/2019,81,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,ELECTRICAL MEASUREMENTS AND INSTRUMENTATION,ELNG 202,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
eddaaf74-ecee-4d41-b45e-65608f45d515,REGULAR,200,SEMESTER 2,2018/2019,81,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,ELECTROMAGNETIC FIELD THEORY,ELNG 208,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
05a82c80-d4e1-4392-9eba-aa317f6fb49b,REGULAR,200,SEMESTER 2,2018/2019,81,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,MATLAB AND LAB VIEW FOR  ELECTRICAL  AND ELECTRONIC  ENGINEERING,ELNG 204,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
e6e75212-977a-4b96-9042-3c56f1b54fe9,REGULAR,200,SEMESTER 2,2018/2019,81,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,SYNCHRONOUS MACHINES,ELNG 218,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
3418d1a1-3aa0-40c3-ad36-86042c366de6,REGULAR,100,SEMESTER 2,2018/2019,107,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,PROGRAMMING WITH C++ [CONSOLE],COMP 104,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
4a4a5843-5b21-4a60-8d51-6c7e8cc146a0,REGULAR,100,SEMESTER 2,2018/2019,107,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,INTRO. TO COMPUTER SCIENCE,COMP 102,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
cb2d5a7c-5472-4d9f-a397-a6709e6a60d9,REGULAR,100,SEMESTER 2,2018/2019,107,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,INTRO. TO FRENCH II,UENR 106,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
e8076d6f-997c-45b7-ae35-a02a2a534186,REGULAR,100,SEMESTER 2,2018/2019,107,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,COMPUTER ETHICS,INFT 104,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
50e65d6d-bd82-4692-b8f1-75f64659aa51,REGULAR,100,SEMESTER 2,2018/2019,107,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:53,CALCULUS II,MATH 102,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
